split,acc,prec,rec,f1,auc,model,shots,pflip,pdepol
train,0.772930648769575,0.9355742296918768,0.8096969696969697,0.8680961663417803,0.6025472112428635,VQC,512,0.0,0.0
val,0.7449664429530202,0.9523809523809523,0.7719298245614035,0.8527131782945736,0.5543859649122806,VQC,512,0.0,0.0
test,0.7315436241610739,0.922077922077922,0.7745454545454545,0.841897233201581,0.5397628458498024,VQC,512,0.0,0.0
train,0.772930648769575,0.9355742296918768,0.8096969696969697,0.8680961663417803,0.5999648660518225,VQC,512,0.01,0.0
val,0.7449664429530202,0.9523809523809523,0.7719298245614035,0.8527131782945736,0.5560053981106613,VQC,512,0.01,0.0
test,0.7281879194630873,0.9217391304347826,0.7709090909090909,0.8396039603960396,0.5383399209486166,VQC,512,0.01,0.0
