split,acc,prec,rec,f1,auc
train,1.0,1.0,1.0,1.0,1.0
val,0.9765100671140939,0.9793103448275862,0.9964912280701754,0.9878260869565217,0.7622132253711201
test,0.9228187919463087,0.9344827586206896,0.9854545454545455,0.95929203539823,0.7562055335968378
