predicted,empirical,count
0.15701185904549875,0.11764705882352941,17
0.2521473404039431,0.23333333333333334,30
0.3574435069619211,0.15267175572519084,262
0.449617739238741,0.6052631578947368,76
0.5434302271402144,0.7551020408163265,49
0.658145508858847,0.8494623655913979,93
0.7489305125114639,0.8516129032258064,155
0.861024886039089,0.8579710144927536,345
0.954219155832405,0.946515397082658,3085
