model,brier,log_loss,auc,pr_auc,ece,n
SVM_onehot,0.07254764702949111,0.26515913511182027,0.8421392521925668,0.9560378767821138,0.013995129289658025,4112
SVM_kmer,0.07779839607738254,0.28810228086718714,0.8015056955166002,0.9387343755363308,0.032979744890857476,4112
QSVM_kernel,0.11081413988718704,0.37692452388110986,0.6499019118176824,0.9072191563789374,0.022708311712537135,4112
