model,composite,model_rank,f1,auc,pr_auc,balanced_acc,delta_f1_test_val,f1_rank,auc_rank,pr_auc_rank,balanced_acc_rank
SVM_onehot,0.6914837076381337,1.0,0.9542941890252123,,0.9560378767821138,0.7087634588621567,-0.023675693852646007,1.0,,1.0,2.0
SVM_kmer,0.6428638747642076,2.0,0.9535452322738386,,0.9387343755363308,0.7281974181544179,-0.015300386641321384,2.0,,2.0,1.0
QSVM_kernel,0.07208360531090492,3.0,0.9278350515463918,,0.9072191563789374,0.5030546809225218,0.004980157817711772,4.0,,3.0,3.0
QSVM_kernel_nystrom,0.07206911723891508,4.0,0.9278350515463918,,0.9072136843345902,0.5030546809225218,,4.0,,4.0,3.0
VQC,0.00113775464824681,5.0,0.9279103115630296,,0.8804992633484134,0.5,0.005478445734937387,3.0,,5.0,5.0
