split,acc,prec,rec,f1,auc,pr_auc,balanced_acc,specificity,mcc,thr,model,shots,pflip,pdepol,anchors,S_NOISE
train,0.85,0.8471337579617835,1.0,0.9172413793103448,0.9933166248955723,0.998834927109561,0.5555555555555556,0.1111111111111111,0.3067995650369551,0.5,QSVM,256,0.0,0.0,,
val,0.8535992217898832,0.8645677161419291,0.9829545454545454,0.9199680935921297,0.6732724201474202,0.903652999635403,0.5337070024570024,0.08445945945945946,0.14667207251840061,0.5,QSVM,256,0.0,0.0,,
test,0.8606517509727627,0.8730634682658671,0.9817364428210171,0.9242163734955694,0.6769608871785205,0.9086260498425585,0.5315553823508341,0.081374321880651,0.13344279118374727,0.5,QSVM,256,0.0,0.0,,
train,0.85,0.8516129032258064,0.9924812030075187,0.9166666666666666,0.9863547758284601,0.9976035740807186,0.5703146755778334,0.14814814814814814,0.30271422131328013,0.5,QSVM,256,0.01,0.0,96.0,16.0
val,0.8497081712062257,0.8662291771832408,0.975,0.917401764234162,0.672324410703317,0.9055202578893771,0.5398648648648648,0.10472972972972973,0.14929649495567934,0.5,QSVM,256,0.01,0.0,96.0,16.0
test,0.8560311284046692,0.8749052312357847,0.9727451531329026,0.9212346993081426,0.6849159124385774,0.9142630390460444,0.5388138062228708,0.10488245931283906,0.1390573389838603,0.5,QSVM,256,0.01,0.0,96.0,16.0
