acc,prec,rec,f1,roc_auc,pr_auc,specificity,balanced_acc,mcc,thr,tp,tn,fp,fn,support,model,split
0.9818417639429312,0.9855072463768116,0.9936305732484076,0.9895522388059701,0.9940947096742156,0.999114604769748,0.9060240963855422,0.9498273348169749,0.9207061618159379,0.39999999999999997,10608,1504,156,68,12336,SVM_kmer,train
0.9455252918287937,0.9490463215258855,0.9894886363636364,0.96884561891516,0.9106913198710074,0.9699347084041489,0.6841216216216216,0.836805128992629,0.763478322197917,0.39999999999999997,3483,405,187,37,4112,SVM_kmer,val
0.916828793774319,0.9229555613988956,0.9862320876650744,0.9535452322738386,0.8015056955166002,0.9387343755363308,0.4701627486437613,0.7281974181544179,0.5906427525758472,0.39999999999999997,3510,260,293,49,4112,SVM_kmer,test
