split,acc,prec,rec,f1,auc,pr_auc,balanced_acc,specificity,mcc,thr,model,shots,pflip,pdepol
train,0.664396887159533,0.8838383838383839,0.7048520044960659,0.7842626367899947,0.5622995729640179,0.8870431436528867,0.5545344359829727,0.4042168674698795,0.08049093713687687,0.5,VQC,256,0.0,0.0
val,0.6663424124513618,0.8742160278745644,0.7127840909090909,0.7852895148669796,0.5663241899570024,0.8816380964815037,0.5514933968058968,0.3902027027027027,0.07874300345653326,0.5,VQC,256,0.0,0.0
test,0.6549124513618677,0.8788951841359773,0.6973869064343917,0.7776907410308632,0.5403350495166217,0.8804992633484134,0.5394710300707221,0.38155515370705245,0.058069052244272806,0.5,VQC,256,0.0,0.0
train,0.6638294422827496,0.8837428000470201,0.7041963282128137,0.7838190064119273,0.5617832419975894,0.8869032745630636,0.5542065978413466,0.4042168674698795,0.07996677346385377,0.5,VQC,256,0.01,0.0
val,0.6670719844357976,0.8743473720849286,0.7136363636363636,0.785859533865165,0.5664096091830467,0.8813714856355748,0.5519195331695331,0.3902027027027027,0.07944919358855333,0.5,VQC,256,0.01,0.0
test,0.6536964980544747,0.8784119106699751,0.6962629952233773,0.7768025078369906,0.5390566767286867,0.8801316513132387,0.5380049153332076,0.379746835443038,0.055876817221629654,0.5,VQC,256,0.01,0.0
