model,composite,model_rank,f1,roc_auc,pr_auc,balanced_acc,delta_f1_vs_SVM_kmer,delta_f1_test_val,f1_val
SVM_onehot,0.9914837076381338,1.0,0.9542941890252123,0.8421392521925668,0.9560378767821138,0.7087634588621567,0.0007489567513737638,-0.023675693852646007,0.9779698828778584
SVM_kmer,0.9024732277993648,2.0,0.9535452322738386,0.8015056955166002,0.9387343755363308,0.7281974181544179,0.0,-0.015300386641321384,0.96884561891516
QSVM_kernel,0.18099547068214908,3.0,0.9278350515463918,0.6499019118176824,0.9072191563789374,0.5030546809225218,-0.025710180727446796,0.004980157817711661,0.9228548937286801
VQC,0.00113775464824681,4.0,0.9279103115630296,0.5403350495166217,0.8804992633484134,0.5,-0.025634920710808973,0.005478445734937387,0.9224318658280922
